window_label,coupling_label,coupled_window_length_um,c_rq1_ff,c_rq2_ff,readout_only_lq_nh,readout_only_fq_ghz,readout_only_re_y_s,readout_to_xy_ratio,full_baseline_lq_fq_ghz,full_baseline_lq_re_y_s,full_baseline_lq_normalized
window_150_um,rq_2p5_2p3,150.0,2.5,2.3,14.5,3.9558657128435217,2.0302093892684255e-17,6.962684165185302e-8,3.9691420527676855,2.8043249495890606e-10,0.945172974983783
window_150_um,rq_5p0_4p6,150.0,5.0,4.6,14.5,3.9347756926112445,7.56612429460212e-17,2.5948325377823776e-7,3.9482058160291245,2.6515659084932114e-10,0.8936868883412948
window_150_um,rq_7p5_6p9,150.0,7.500000000000001,6.9,14.25,3.9482044356532477,1.7351332896704039e-16,5.950708899453663e-7,3.927598447518836,2.5081203333344303e-10,0.8453398231978803
window_150_um,rq_10p0_9p2,150.0,10.0,9.2,14.0,3.962509188101288,3.157921926641708e-16,1.083021934079558e-6,3.9073113088283074,2.3734161396519983e-10,0.7999389635349254
window_150_um,rq_12p5_11p5,150.0,12.5,11.5,14.0,3.9420411662971673,4.4839657787134175e-16,1.537793967937997e-6,3.8873361445973926,2.2469100009205978e-10,0.757301185942143
window_150_um,rq_15p0_13p8,150.0,15.000000000000002,13.8,13.75,3.9573808296131388,6.611830064109387e-16,2.2675535210119092e-6,3.8676650193453566,2.1280873791223717e-10,0.7172530699216156
window_150_um,rq_17p5_16p1,150.0,17.5,16.1,13.75,3.9373548752932837,8.160585751173433e-16,2.798705467952086e-6,3.8482903556874914,2.0164622125586574e-10,0.6796307926674955
window_150_um,rq_20p0_18p4,150.0,20.0,18.4,13.5,3.95373820768406,1.101870409285518e-15,3.7789085654771197e-6,3.829204801293049,1.911576306654466e-10,0.6442799237420307
window_150_um,rq_22p5_20p7,150.0,22.5,20.7,13.5,3.9341291543540193,1.2655566830422139e-15,4.340277177191902e-6,3.810401054311988,1.812998097144189e-10,0.6110550082182229
window_150_um,rq_25p0_23p0,150.0,25.0,23.0,13.25,3.95156881256112,1.6190637407540026e-15,5.55264374687763e-6,3.7918723162385453,1.7203226061573971e-10,0.5798195518789335
window_150_um,rq_27p5_25p3,150.0,27.5,25.3,13.25,3.9323531922235246,1.7847776755644878e-15,6.12096630313932e-6,3.773612047016565,1.63317003797752e-10,0.5504455479297399
window_150_um,rq_30p0_27p6,150.0,30.000000000000004,27.6,13.0,3.9508649350581013,2.2098165318430894e-15,7.578654032219274e-6,3.7556136590005984,1.551184088584686e-10,0.5228129072452677
window_150_um,rq_35p0_32p2,150.0,35.0,32.2,12.75,3.9516237735874205,2.8704975254086115e-15,9.844485880132843e-6,3.7203780086399383,1.401400666295568e-10,0.4723297266605771
window_150_um,rq_40p0_36p8,150.0,40.0,36.8,12.5,3.953847621144851,3.6018535755269655e-15,1.2352700656494642e-5,3.686118020854931,1.2685580712074415e-10,0.4275563023744901
window_150_um,rq_50p0_46p0,150.0,50.0,46.0,12.0,3.962723992121376,5.295283809225403e-15,1.8160387260321706e-5,3.6203507872291705,1.0455411053248008e-10,0.3523904022365475
window_150_um,rq_60p0_55p2,150.0,60.00000000000001,55.2,11.75,3.9350715531409137,6.2955523020276974e-15,2.1590847996333738e-5,3.5579890555602884,8.683437731133579e-11,0.29266760525111907
window_150_um,rq_80p0_73p6,150.0,80.0,73.6,11.0,3.933757599144919,9.409087840081224e-15,3.226884244515201e-5,3.442375767305024,6.12200455252651e-11,0.20633676053210823
window_150_um,rq_100p0_92p0,150.0,100.0,92.0,10.25,3.9498432891988764,1.3381187724913396e-14,4.589131760305737e-5,3.337360798753766,4.4341776248081046e-11,0.1494500435072815
window_200_um,rq_2p5_2p3,200.0,2.5,2.3,14.5,3.955865712886584,3.233634462528449e-17,1.1089878505762104e-7,3.9691420528102315,2.8043252254969877e-10,0.9451730679761149
window_200_um,rq_5p0_4p6,200.0,5.0,4.6,14.5,3.934775692765543,1.1576289002945444e-16,3.9701345367859564e-7,3.9482058161819578,2.651566883713116e-10,0.893687217030557
window_200_um,rq_7p5_6p9,200.0,7.500000000000001,6.9,14.25,3.948204436002533,2.652107613798937e-16,9.095508958127358e-7,3.92759844782744,2.508122272736704e-10,0.8453404768563006
window_200_um,rq_10p0_9p2,200.0,10.0,9.2,14.0,3.9625091887279376,4.868098989278993e-16,1.6695339863156336e-6,3.9073113093208125,2.373419242546865e-10,0.799940009338256
window_200_um,rq_12p5_11p5,200.0,12.5,11.5,14.0,3.9420411671770412,6.912294784836059e-16,2.3705990967174906e-6,3.8873361452880366,2.246914373933222e-10,0.7573026598274545
window_200_um,rq_15p0_13p8,200.0,15.000000000000002,13.8,13.75,3.957380830897828,1.0149750350865906e-15,3.480897409996876e-6,3.867665020237661,2.1280929758752673e-10,0.7172549562577856
window_200_um,rq_17p5_16p1,200.0,17.5,16.1,13.75,3.937354876867066,1.2574453187561492e-15,4.3124589294923466e-6,3.8482903567773783,2.0164690794746953e-10,0.6796331071009428
window_200_um,rq_20p0_18p4,200.0,20.0,18.4,13.5,3.9537382097791736,1.6916179280086065e-15,5.8014712290998245e-6,3.8292048025693206,1.9115843339859617e-10,0.644282629283267
window_200_um,rq_22p5_20p7,200.0,22.5,20.7,13.5,3.934129156745534,1.9450854079847e-15,6.670748072438092e-6,3.810401055760261,1.8130072004629728e-10,0.6110580764114786
window_200_um,rq_25p0_23p0,200.0,25.0,23.0,13.25,3.9515688155846354,2.488093003300768e-15,8.533014302447462e-6,3.791872317839971,1.7203326966809483e-10,0.5798229528008436
window_200_um,rq_27p5_25p3,200.0,27.5,25.3,13.25,3.932353195528402,2.742678153581126e-15,9.406124240721915e-6,3.7736120487519496,1.6331810035236237e-10,0.5504492437702788
window_200_um,rq_30p0_27p6,200.0,30.000000000000004,27.6,13.0,3.950864939106816,3.397263245554932e-15,1.165104995072206e-5,3.7556136608488733,1.5511957998921059e-10,0.5228168544380767
window_200_um,rq_35p0_32p2,200.0,35.0,32.2,12.75,3.9516237787443784,4.413055250537778e-15,1.513474919159912e-5,3.720378010650723,1.4014135774603295e-10,0.47233407825471385
window_200_um,rq_40p0_36p8,200.0,40.0,36.8,12.5,3.953847627491204,5.534273338003281e-15,1.898001139193231e-5,3.686118022945142,1.268571815527347e-10,0.42756093477621526
window_200_um,rq_50p0_46p0,200.0,50.0,46.0,12.0,3.9627240011067784,8.135288087011102e-15,2.790029533016e-5,3.620350789260976,1.0455553858997784e-10,0.352395215378312
window_200_um,rq_60p0_55p2,200.0,60.00000000000001,55.2,11.75,3.9350715634974724,9.675597898583368e-15,3.318284933232544e-5,3.5579890573109973,8.683576381526793e-11,0.2926722783402579
window_200_um,rq_80p0_73p6,200.0,80.0,73.6,11.0,3.9337576136240333,1.4461199027145705e-14,4.9595259488078284e-5,3.4423757681334304,6.122119792554001e-11,0.20634064459553095
window_200_um,rq_100p0_92p0,200.0,100.0,92.0,10.25,3.949843308496697,2.055436316702791e-14,7.049200920113142e-5,3.337360798530882,4.4342648242428804e-11,0.14945298248727368
window_250_um,rq_2p5_2p3,250.00000000000003,2.5,2.3,14.5,3.9558657131457102,4.473142293378127e-17,1.53408201042492e-7,3.9691420530622312,2.804326307626779e-10,0.9451734326984108
window_250_um,rq_5p0_4p6,250.00000000000003,5.0,4.6,14.5,3.9347756937185028,1.6691350110508607e-16,5.724365167667766e-7,3.9482058171102206,2.651570869289125e-10,0.8936885603337764
window_250_um,rq_7p5_6p9,250.00000000000003,7.500000000000001,6.9,14.25,3.9482044381239745,3.8390486667279177e-16,1.3166170692784676e-6,3.927598449750875,2.5081303895279563e-10,0.8453432125491583
window_250_um,rq_10p0_9p2,250.00000000000003,10.0,9.2,14.0,3.9625091924687315,6.961451329570895e-16,2.3874575300125805e-6,3.90731131247319,2.373432301654592e-10,0.7999444107952635
window_250_um,rq_12p5_11p5,250.00000000000003,12.5,11.5,14.0,3.942041172561861,9.838137176784283e-16,3.3740284276983025e-6,3.887336149831482,2.246932859042711e-10,0.7573088900704694
window_250_um,rq_15p0_13p8,250.00000000000003,15.000000000000002,13.8,13.75,3.957380838613914,1.4566275255378046e-15,4.995562260841355e-6,3.8676650262760677,2.1281171614729364e-10,0.7172631078000326
window_250_um,rq_17p5_16p1,250.00000000000003,17.5,16.1,13.75,3.937354886555002,1.7995464682210856e-15,6.17161646726158e-6,3.848290364371323,2.0164989915182758e-10,0.6796431886912461
window_250_um,rq_20p0_18p4,250.00000000000003,20.0,18.4,13.5,3.953738222418149,2.4232274632501647e-15,8.310555342813119e-6,3.829204811734312,1.9116198428386654e-10,0.6442945972286911
window_250_um,rq_22p5_20p7,250.00000000000003,22.5,20.7,13.5,3.934129171527075,2.785717634762946e-15,9.55372985996813e-6,3.810401066490262,1.8130481320308242e-10,0.6110718720351856
window_250_um,rq_25p0_23p0,250.00000000000003,25.0,23.0,13.25,3.9515688338721957,3.566259626325643e-15,1.223062978646987e-5,3.791872330094773,1.7203787388186127e-10,0.5798384708970034
window_250_um,rq_27p5_25p3,250.00000000000003,27.5,25.3,13.25,3.932353216001021,3.9274571876061675e-15,1.3469371245220432e-5,3.773612062485116,1.633231783538164e-10,0.5504663587260259
window_250_um,rq_30p0_27p6,250.00000000000003,30.000000000000004,27.6,13.0,3.9508649636159383,4.8660696495763816e-15,1.6688380161616264e-5,3.7556136759944208,1.5512509746883185e-10,0.5228354506162008
window_250_um,rq_35p0_32p2,250.00000000000003,35.0,32.2,12.75,3.951623809933098,6.318509643139965e-15,2.1669581114347118e-5,3.7203780283950625,1.401476339503059e-10,0.4723552316473161
window_250_um,rq_40p0_36p8,250.00000000000003,40.0,36.8,12.5,3.9538476657692545,7.926705804107416e-15,2.7184954062412724e-5,3.686118042941605,1.2686404856882618e-10,0.42758407944791027
window_250_um,rq_50p0_46p0,250.00000000000003,50.0,46.0,12.0,3.9627240547261664,1.1651074283901438e-14,3.995782447501652e-5,3.620350812695962,1.0456315567331795e-10,0.3524208880854721
window_250_um,rq_60p0_55p2,250.00000000000003,60.00000000000001,55.2,11.75,3.9350716274282305,1.3865765040260673e-14,4.755319485483793e-5,3.557989082866703,8.684365703717817e-11,0.2926988817480984
window_250_um,rq_80p0_73p6,250.00000000000003,80.0,73.6,11.0,3.933757703148973,2.0720411796329775e-14,7.10614796055154e-5,3.4423757949700846,6.12287412778757e-11,0.20636606879884772
window_250_um,rq_100p0_92p0,250.00000000000003,100.0,92.0,10.25,3.9498434254485044,2.943725309359104e-14,0.0001009562348911978,3.33736082414572,4.4349284294293796e-11,0.14947534871442683
window_300_um,rq_2p5_2p3,300.0,2.5,2.3,14.5,3.955865713179466,6.211291321620066e-17,2.130187159955005e-7,3.9691420530957404,2.804326581261167e-10,0.9451735249244664
window_300_um,rq_5p0_4p6,300.0,5.0,4.6,14.5,3.934775693838485,2.2432357943387364e-16,7.693266727353375e-7,3.9482058172296806,2.65157187724636e-10,0.893688900056867
window_300_um,rq_7p5_6p9,300.0,7.500000000000001,6.9,14.25,3.948204438396985,5.139401340767792e-16,1.762578211048004e-6,3.927598449990151,2.5081324144080924e-10,0.8453438950171378
window_300_um,rq_10p0_9p2,300.0,10.0,9.2,14.0,3.9625091929611025,9.326717010979562e-16,3.1986348397744427e-6,3.907311312851776,2.373435554016337e-10,0.7999455069750864
window_300_um,rq_12p5_11p5,300.0,12.5,11.5,14.0,3.942041173247963,1.3230310871257903e-15,4.537387940904989e-6,3.887336150357505,2.2469374115230903e-10,0.7573104244438038
window_300_um,rq_15p0_13p8,300.0,15.000000000000002,13.8,13.75,3.9573808396214303,1.952020713873336e-15,6.694532980904563e-6,3.867665026949003,2.1281230541091235e-10,0.7172650938610545
window_300_um,rq_17p5_16p1,300.0,17.5,16.1,13.75,3.9373548877799314,2.410911534695049e-15,8.268317374067856e-6,3.8482903651845857,2.0165061522853307e-10,0.6796456021645854
window_300_um,rq_20p0_18p4,300.0,20.0,18.4,13.5,3.953738224059007,3.248496963456635e-15,1.1140850046143474e-5,3.829204812675823,1.911628266987883e-10,0.6442974365138384
window_300_um,rq_22p5_20p7,300.0,22.5,20.7,13.5,3.9341291733860593,3.738080873589103e-15,1.2819897614649296e-5,3.81040106754553,1.8130576953820054e-10,0.6110750952783008
window_300_um,rq_25p0_23p0,300.0,25.0,23.0,13.25,3.951568836238203,4.781774693451379e-15,1.6399287243753228e-5,3.7918723312460947,1.7203893781053103e-10,0.5798420567746888
window_300_um,rq_27p5_25p3,300.0,27.5,25.3,13.25,3.9323532185681063,5.267500813347314e-15,1.806510436660428e-5,3.773612063714676,1.6332433681256193e-10,0.5504702632089892
window_300_um,rq_30p0_27p6,300.0,30.000000000000004,27.6,13.0,3.950864966783295,6.5243846539686666e-15,2.2375637684413956e-5,3.7556136772832605,1.5512634073983413e-10,0.5228396409513905
window_300_um,rq_35p0_32p2,300.0,35.0,32.2,12.75,3.9516238139684883,8.472233187231057e-15,2.905586200532134e-5,3.720378029746618,1.4014900976784875e-10,0.4723598687189229
window_300_um,rq_40p0_36p8,300.0,40.0,36.8,12.5,3.953847670739332,1.0625388756762507e-14,3.644019500486449e-5,3.6861180442845147,1.2686551784092974e-10,0.4275890314998662
window_300_um,rq_50p0_46p0,300.0,50.0,46.0,12.0,3.9627240617853254,1.5612937017117654e-14,5.354519091269341e-5,3.620350813841229,1.0456471124001722e-10,0.3524261309857471
window_300_um,rq_60p0_55p2,300.0,60.00000000000001,55.2,11.75,3.935071635480392,1.859366501099649e-14,6.376771658586216e-5,3.5579890836383283,8.684519282413672e-11,0.29270405798250293
window_300_um,rq_80p0_73p6,300.0,80.0,73.6,11.0,3.933757714399818,2.778699604217518e-14,9.529661243988058e-5,3.44237579474247,6.123008179518828e-11,0.20637058689414386
window_300_um,rq_100p0_92p0,300.0,100.0,92.0,10.25,3.9498434405359344,3.9459173108300114e-14,0.00013532680974915034,3.3373608228856666,4.435035815296627e-11,0.14947896806031016
window_350_um,rq_2p5_2p3,350.0,2.5,2.3,14.5,3.95586571320723,7.720332652704998e-17,2.647718909935796e-7,3.969142053123444,2.804326878262716e-10,0.9451736250262173
window_350_um,rq_5p0_4p6,350.0,5.0,4.6,14.5,3.934775693936298,2.8355908412059476e-16,9.72477201286293e-7,3.9482058173276298,2.6515728399775384e-10,0.8936892245369141
window_350_um,rq_7p5_6p9,350.0,7.500000000000001,6.9,14.25,3.9482044386208335,6.514145293978409e-16,2.234052139047765e-6,3.9275984501845884,2.5081343762599227e-10,0.8453445562419831
window_350_um,rq_10p0_9p2,350.0,10.0,9.2,14.0,3.9625091933671395,1.1811933544852432e-15,4.0509497733433716e-6,3.907311313156439,2.3734386222456966e-10,0.7999465410947136
window_350_um,rq_12p5_11p5,350.0,12.5,11.5,14.0,3.9420411738090584,1.6764724089353464e-15,5.749529066689226e-6,3.8873361507763575,2.2469417446395433e-10,0.7573118848824628
window_350_um,rq_15p0_13p8,350.0,15.000000000000002,13.8,13.75,3.957380840450605,2.47408709627968e-15,8.484980485073615e-6,3.8676650274786706,2.1281285913278068e-10,0.7172669601317435
window_350_um,rq_17p5_16p1,350.0,17.5,16.1,13.75,3.9373548887796535,3.0557886944218034e-15,1.047994934279652e-5,3.8482903658166245,2.0165129431629288e-10,0.6796478909699476
window_350_um,rq_20p0_18p4,350.0,20.0,18.4,13.5,3.953738225407436,4.115977722162153e-15,1.4115909945959188e-5,3.8292048133973497,1.9116362335428044e-10,0.6443001215708667
window_350_um,rq_22p5_20p7,350.0,22.5,20.7,13.5,3.9341291749011096,4.7402472333688236e-15,1.625686716124077e-5,3.810401068341765,1.8130667600920847e-10,0.6110781504588335
window_350_um,rq_25p0_23p0,350.0,25.0,23.0,13.25,3.951568838180828,6.056076945778982e-15,2.0769557700013185e-5,3.791872332099873,1.7203994511705425e-10,0.5798454518124265
window_350_um,rq_27p5_25p3,350.0,27.5,25.3,13.25,3.9323532206585963,6.678567216418861e-15,2.2904412938727255e-5,3.773612064608893,1.6332543455256038e-10,0.550473963044774
window_350_um,rq_30p0_27p6,350.0,30.000000000000004,27.6,13.0,3.9508649693831166,8.267021622383843e-15,2.8352080749738902e-5,3.7556136782001626,1.5512751915662518e-10,0.5228436127011847
window_350_um,rq_35p0_32p2,350.0,35.0,32.2,12.75,3.951623817281827,1.0733895433507395e-14,3.6812322985348684e-5,3.7203780306574665,1.4015031748730342e-10,0.47236427627193345
window_350_um,rq_40p0_36p8,350.0,40.0,36.8,12.5,3.9538476748237974,1.3463694874160095e-14,4.617427916584552e-5,3.686118045125181,1.268669163082491e-10,0.42759374491054586
window_350_um,rq_50p0_46p0,350.0,50.0,46.0,12.0,3.962724067607067,1.977692653934401e-14,6.782575924404679e-5,3.620350814384652,1.0456619392073616e-10,0.35243112823025785
window_350_um,rq_60p0_55p2,350.0,60.00000000000001,55.2,11.75,3.9350716420454437,2.356747813391597e-14,8.082560729142206e-5,3.557989083739024,8.684666246356617e-11,0.2927090112724984
window_350_um,rq_80p0_73p6,350.0,80.0,73.6,11.0,3.933757723567418,3.522373659007743e-14,0.00012080121109220433,3.4423757937788375,6.123136929857942e-11,0.20637492631069645
