window_label,coupling_label,coupled_window_length_um,c_rq1_ff,c_rq2_ff,readout_only_lq_nh,readout_only_fq_ghz,readout_only_re_y_s,readout_to_xy_ratio,full_baseline_lq_fq_ghz,full_baseline_lq_re_y_s,full_baseline_lq_normalized
window_350_um,rq_100p0_92p0,350.0,100.0,92.0,10.25,3.949843452914445,5.0000099193459443e-14,0.00017147733664922264,3.337360820891877,4.435140271615395e-11,0.1494824886683474
window_400_um,rq_2p5_2p3,400.0,2.5,2.3,14.5,3.9558657134471993,9.765105207745113e-17,3.3489818223053207e-7,3.969142053356884,2.8043279341728624e-10,0.9451739809114132
window_400_um,rq_5p0_4p6,400.0,5.0,4.6,14.5,3.9347756948183674,3.4845547067255384e-16,1.1950419502287124e-6,3.948205818187104,2.651576690983246e-10,0.8936905224844012
window_400_um,rq_7p5_6p9,400.0,7.500000000000001,6.9,14.25,3.948204440585035,8.006797706617992e-16,2.745963244008041e-6,3.9275984519646174,2.508142273736903e-10,0.8453472180169009
window_400_um,rq_10p0_9p2,400.0,10.0,9.2,14.0,3.962509196831732,1.4551366105393811e-15,4.99044910832318e-6,3.9073113160723603,2.3734513563898343e-10,0.7999508330256114
window_400_um,rq_12p5_11p5,400.0,12.5,11.5,14.0,3.9420411787939065,2.066589587259294e-15,7.087451506828128e-6,3.8873361549769534,2.2469597658671403e-10,0.7573179587781799
window_400_um,rq_15p0_13p8,400.0,15.000000000000002,13.8,13.75,3.957380847595932,3.0445095358380447e-15,1.0441267018065448e-5,3.8676650330586946,2.1281521754178548e-10,0.7172749089411554
window_400_um,rq_17p5_16p1,400.0,17.5,16.1,13.75,3.9373548977467787,3.767144768621673e-15,1.2919573403162323e-5,3.848290372830682,2.016542097918774e-10,0.679657717323103
window_400_um,rq_20p0_18p4,400.0,20.0,18.4,13.5,3.9537382371102123,5.070258392228792e-15,1.738865360764113e-5,3.8292048218583568,1.9116708928298887e-10,0.6443118031776965
window_400_um,rq_22p5_20p7,400.0,22.5,20.7,13.5,3.9341291885814864,5.8364499081496475e-15,2.0016338004925792e-5,3.810401078242733,1.8131067130694902e-10,0.6110916162572672
window_400_um,rq_25p0_23p0,400.0,25.0,23.0,13.25,3.9515688551125003,7.460299147881197e-15,2.5585393811628188e-5,3.791872343402305,1.7204443759974048e-10,0.5798605933288412
window_400_um,rq_27p5_25p3,400.0,27.5,25.3,13.25,3.932353239604843,8.228143199311747e-15,2.821874564542781e-5,3.773612077268602,1.6333039762182086e-10,0.5504906906317061
window_400_um,rq_30p0_27p6,400.0,30.000000000000004,27.6,13.0,3.9508649920741292,1.0182139802167994e-14,3.4920055016494986e-5,3.755613692155009,1.5513290892960182e-10,0.5228617784553337
window_400_um,rq_35p0_32p2,400.0,35.0,32.2,12.75,3.951623846156724,1.3220496660090911e-14,4.534022117997884e-5,3.720378046990724,1.401564532080321e-10,0.4723849561771479
window_400_um,rq_40p0_36p8,400.0,40.0,36.8,12.5,3.9538477102630116,1.6577579940690885e-14,5.685347233653298e-5,3.6861180635132857,1.268736426237524e-10,0.4276164153633258
window_400_um,rq_50p0_46p0,400.0,50.0,46.0,12.0,3.9627241172573977,2.4347318071022566e-14,8.350009949413412e-5,3.6203508358917746,1.0457367054204908e-10,0.35245632752255174
window_400_um,rq_60p0_55p2,400.0,60.00000000000001,55.2,11.75,3.935071701205259,2.9035333195490205e-14,9.95778345523106e-5,3.557989107144984,8.685443190645085e-11,0.2927351974940572
window_400_um,rq_80p0_73p6,400.0,80.0,73.6,11.0,3.93375780640346,4.339584614233274e-14,0.00014882778710767193,3.4423758182559303,6.123884023824585e-11,0.2064001064535022
window_400_um,rq_100p0_92p0,400.0,100.0,92.0,10.25,3.9498435611602742,6.15669676597719e-14,0.00021114637391054464,3.337360844153195,4.4358020561186667e-11,0.1495047935309792
window_450_um,rq_2p5_2p3,450.0,2.5,2.3,14.5,3.9558657134629676,1.165991309665108e-16,3.9988137536268364e-7,3.9691420533729533,2.804328184425298e-10,0.945174065256788
window_450_um,rq_5p0_4p6,450.0,5.0,4.6,14.5,3.934775694871877,4.1928576511430686e-16,1.4379572732155285e-6,3.948205818242015,2.6515775976494473e-10,0.8936908280682427
window_450_um,rq_7p5_6p9,450.0,7.500000000000001,6.9,14.25,3.9482044407105255,9.566766140169748e-16,3.2809606471278068e-6,3.927598452069501,2.508144043485385e-10,0.8453478144950082
window_450_um,rq_10p0_9p2,450.0,10.0,9.2,14.0,3.9625091970648265,1.7365068654526613e-15,5.955419632444732e-6,3.9073113162296313,2.3734541775823733e-10,0.7999517838836585
window_450_um,rq_12p5_11p5,450.0,12.5,11.5,14.0,3.9420411791050234,2.466115042504525e-15,8.457640008333786e-6,3.8873361551824765,2.2469637215363157e-10,0.7573192920015651
window_450_um,rq_15p0_13p8,450.0,15.000000000000002,13.8,13.75,3.957380848068009,3.6334132185732806e-15,1.2460935712474095e-5,3.867665033303641,2.1281572784859804e-10,0.7172766288852305
window_450_um,rq_17p5_16p1,450.0,17.5,16.1,13.75,3.937354898296326,4.497929884539967e-15,1.542583013788806e-5,3.848290373103138,2.0165483414034578e-10,0.6796598216345144
window_450_um,rq_20p0_18p4,450.0,20.0,18.4,13.5,3.9537382378732775,6.048531374418485e-15,2.0743679861743536e-5,3.8292048221440713,1.9116782027823846e-10,0.644314266932672
window_450_um,rq_22p5_20p7,450.0,22.5,20.7,13.5,3.934129189409214,6.9686292079527655e-15,2.3899192120643554e-5,3.8104010785265716,1.813115020704003e-10,0.6110944162721615
window_450_um,rq_25p0_23p0,450.0,25.0,23.0,13.25,3.951568856207771,8.900099055096865e-15,3.0523245083520006e-5,3.7918723436683877,1.7204536374057491e-10,0.579863714804788
window_450_um,rq_27p5_25p3,450.0,27.5,25.3,13.25,3.932353240743027,9.824094537099042e-15,3.369212448347076e-5,3.773612077501424,1.6333140395312988e-10,0.5504940823825704
window_450_um,rq_30p0_27p6,450.0,30.000000000000004,27.6,13.0,3.950864993538145,1.2149910162741758e-14,4.166860203962987e-5,3.755613692339388,1.5513399178867098e-10,0.5228654281362597
window_450_um,rq_35p0_32p2,450.0,35.0,32.2,12.75,3.9516238480249117,1.577565542950676e-14,5.41032402052021e-5,3.720378047036008,1.4015765639793677e-10,0.4723890114225353
window_450_um,rq_40p0_36p8,450.0,40.0,36.8,12.5,3.953847712574605,1.978191621126282e-14,6.784287152312609e-5,3.6861180633701447,1.2687493043878826e-10,0.42762075583024944
window_450_um,rq_50p0_46p0,450.0,50.0,46.0,12.0,3.962724120600058,2.904565644790225e-14,9.96132385586572e-5,3.620350835262183,1.0457504606082047e-10,0.3524609635871757
window_450_um,rq_60p0_55p2,450.0,60.00000000000001,55.2,11.75,3.9350717047979678,3.466452658725339e-14,0.00011888337805869677,3.557989105944071,8.685580261328712e-11,0.2927398173404785
window_450_um,rq_80p0_73p6,450.0,80.0,73.6,11.0,3.933757811407527,5.181223839341309e-14,0.00017769214039277907,3.442375815876254,6.124007549781506e-11,0.2064042697868637
window_450_um,rq_100p0_92p0,450.0,100.0,92.0,10.25,3.949843568117155,7.347019369369435e-14,0.0002519689628804824,3.3373608407579507,4.435905722561067e-11,0.14950828751693057
window_500_um,rq_2p5_2p3,500.00000000000006,2.5,2.3,14.5,3.9558657134787834,1.3733135446567834e-16,4.7098336367471333e-7,3.9691420533890525,2.804328441309063e-10,0.945174151837194
window_500_um,rq_5p0_4p6,500.00000000000006,5.0,4.6,14.5,3.9347756949256576,4.918037997169705e-16,1.6866607684743457e-6,3.9482058182971294,2.6515785380618104e-10,0.8936911450259302
window_500_um,rq_7p5_6p9,500.00000000000006,7.500000000000001,6.9,14.25,3.94820444083648,1.123428943399926e-15,3.85284441903806e-6,3.927598452174997,2.508145926051679e-10,0.8453484489973632
window_500_um,rq_10p0_9p2,500.00000000000006,10.0,9.2,14.0,3.962509197298481,2.036790696435522e-15,6.9852550209013605e-6,3.907311316388218,2.3734571702877057e-10,0.799952792548579
window_500_um,rq_12p5_11p5,500.00000000000006,12.5,11.5,14.0,3.9420411794174783,2.8880929378289812e-15,9.904830049599697e-6,3.887336155390339,2.246967881761418e-10,0.7573206941687202
window_500_um,rq_15p0_13p8,500.00000000000006,15.000000000000002,13.8,13.75,3.9573808485414306,4.261639753756939e-15,1.4615463699485662e-5,3.8676650335522798,2.1281627015386392e-10,0.7172784566772685
window_500_um,rq_17p5_16p1,500.00000000000006,17.5,16.1,13.75,3.9373548988484997,5.2788818751829676e-15,1.8104136172606643e-5,3.848290373380964,2.0165549640287427e-10,0.6796620537319195
window_500_um,rq_20p0_18p4,500.00000000000006,20.0,18.4,13.5,3.953738238638767,7.0951714477144785e-15,2.433317378464002e-5,3.829204822437134,1.911685993957838e-10,0.6443168928795984
window_500_um,rq_22p5_20p7,500.00000000000006,22.5,20.7,13.5,3.9341291902411797,8.182556476196878e-15,2.8062404158262806e-5,3.810401078820018,1.81312389548186e-10,0.6110974074377149
window_500_um,rq_25p0_23p0,500.00000000000006,25.0,23.0,13.25,3.951568857306738,1.0442304006818861e-14,3.581229854450042e-5,3.7918723439465793,1.720463528623061e-10,0.5798670485522891
window_500_um,rq_27p5_25p3,500.00000000000006,27.5,25.3,13.25,3.932353241887254,1.1531884912599263e-14,3.954905976699638e-5,3.773612077749078,1.6333248744748255e-10,0.5504977342046634
window_500_um,rq_30p0_27p6,500.00000000000006,30.000000000000004,27.6,13.0,3.950864995007197,1.4252513545609645e-14,4.8879564296500644e-5,3.7556136925415036,1.551351585280073e-10,0.5228693605282234
window_500_um,rq_35p0_32p2,500.00000000000006,35.0,32.2,12.75,3.951623849899392,1.8507746193955836e-14,6.347305457214939e-5,3.720378047105262,1.401589572197554e-10,0.4723933957276723
window_500_um,rq_40p0_36p8,500.00000000000006,40.0,36.8,12.5,3.953847714893507,2.3203956147634267e-14,7.957889412431748e-5,3.6861180632575503,1.268763342645202e-10,0.4276254873009858
window_500_um,rq_50p0_46p0,500.00000000000006,50.0,46.0,12.0,3.962724123950648,3.406235781140504e-14,0.0001168182161977918,3.620350834676486,1.0457655715440683e-10,0.35246605659474856
window_500_um,rq_60p0_55p2,500.00000000000006,60.00000000000001,55.2,11.75,3.93507170840868,4.068287559180091e-14,0.00013952354627780916,3.5579891047996126,8.685733230886111e-11,0.292744973044409
window_500_um,rq_80p0_73p6,500.00000000000006,80.0,73.6,11.0,3.933757816437359,6.080746451493432e-14,0.00020854162754895155,3.442375813573297,6.124147530726086e-11,0.20640898772106203
window_500_um,rq_100p0_92p0,500.00000000000006,100.0,92.0,10.25,3.9498435750985506,8.619472312542212e-14,0.00029560824464720234,3.3373608374520303,4.436025773102302e-11,0.14951233371447356
window_550_um,rq_2p5_2p3,550.0,2.5,2.3,14.5,3.9558657136996387,1.5658303805507963e-16,5.370077812493872e-7,3.9691420536039708,2.8043294693723923e-10,0.9451744983368661
window_550_um,rq_5p0_4p6,550.0,5.0,4.6,14.5,3.9347756957370166,5.6424846052107855e-16,1.9351126253612573e-6,3.948205819087979,2.6515822359304213e-10,0.8936923913599103
window_550_um,rq_7p5_6p9,550.0,7.500000000000001,6.9,14.25,3.9482044426438248,1.2901534355748142e-15,4.424632722131742e-6,3.9275984538120046,2.508153433162789e-10,0.8453509792029095
window_550_um,rq_10p0_9p2,550.0,10.0,9.2,14.0,3.962509200487516,2.33832521002147e-15,8.019379675284065e-6,3.907311319068385,2.3734692588632063e-10,0.799956866896265
window_550_um,rq_12p5_11p5,550.0,12.5,11.5,14.0,3.942041184003405,3.321292985810042e-15,1.1390506911493302e-5,3.887336159249202,2.2469850782157414e-10,0.7573264900818845
window_550_um,rq_15p0_13p8,550.0,15.000000000000002,13.8,13.75,3.9573808551174294,4.897648218345715e-15,1.67966801241185e-5,3.8676650386755416,2.1281851732979503e-10,0.7172860305854223
window_550_um,rq_17p5_16p1,550.0,17.5,16.1,13.75,3.9373549070968226,6.065099641638262e-15,2.0800501395731846e-5,3.84829037981734,2.0165828189091588e-10,0.6796714419735334
window_550_um,rq_20p0_18p4,550.0,20.0,18.4,13.5,3.953738249407831,8.149406859971116e-15,2.794871622577804e-5,3.8292048301970176,1.9117190935085688e-10,0.6443280487910557
window_550_um,rq_22p5_20p7,550.0,22.5,20.7,13.5,3.9341292028236117,9.404502916595043e-15,3.2253118266983715e-5,3.810401087895535,1.8131620664224298e-10,0.6111102726163603
window_550_um,rq_25p0_23p0,550.0,25.0,23.0,13.25,3.951568872886297,1.1996827918997707e-14,4.114360037225416e-5,3.791872354300993,1.7205064978115737e-10,0.5798815309380573
window_550_um,rq_27p5_25p3,550.0,27.5,25.3,13.25,3.9323532593117667,1.3258010223265514e-14,4.546887544277367e-5,3.773612089340495,1.6333723342755105e-10,0.5505137301116328
window_550_um,rq_30p0_27p6,550.0,30.000000000000004,27.6,13.0,3.950865015885349,1.6375835938146648e-14,5.616158322432567e-5,3.755613705311662,1.55140316143103e-10,0.5228867438147236
window_550_um,rq_35p0_32p2,550.0,35.0,32.2,12.75,3.9516238764673397,2.1260354759119866e-14,7.291323555590852e-5,3.720378062035209,1.4016483623276018e-10,0.47241321042215884
window_550_um,rq_40p0_36p8,550.0,40.0,36.8,12.5,3.953847747502505,2.6658362994946735e-14,9.142592033896678e-5,3.686118080046859,1.2688278733519356e-10,0.4276472368061814
window_550_um,rq_50p0_46p0,550.0,50.0,46.0,12.0,3.9627241696442805,3.911857715556086e-14,0.00013415872232949835,3.6203508542687923,1.0458375115173805e-10,0.35249030332785475
window_550_um,rq_60p0_55p2,550.0,60.00000000000001,55.2,11.75,3.9350717628143874,4.676282783739374e-14,0.00016037498527185617,3.557989126072009,8.686482663324935e-11,0.29277023200335583
window_550_um,rq_80p0_73p6,550.0,80.0,73.6,11.0,3.933757892609864,6.989093056372244e-14,0.00023969373705903782,3.442375835711812,6.124873289045516e-11,0.20643344876470807
window_550_um,rq_100p0_92p0,550.0,100.0,92.0,10.25,3.9498436746720866,9.901538206683202e-14,0.0003395772064057541,3.337360858383575,4.4366734876161084e-11,0.14953416436052777
window_600_um,rq_2p5_2p3,600.0,2.5,2.3,14.5,3.9558657137037136,1.7812476853028553e-16,6.108860060587272e-7,3.969142053608681,2.804329703989859e-10,0.9451745774126127
window_600_um,rq_5p0_4p6,600.0,5.0,4.6,14.5,3.9347756957474407,6.397033156168278e-16,2.1938880637660806e-6,3.9482058191009726,2.6515830219728853e-10,0.8936926562885856
window_600_um,rq_7p5_6p9,600.0,7.500000000000001,6.9,14.25,3.9482044426735183,1.4629876981769187e-15,5.0173747268639664e-6,3.9275984538298685,2.508155063513023e-10,0.8453515286980674
window_600_um,rq_10p0_9p2,600.0,10.0,9.2,14.0,3.962509200551909,2.6498131892381262e-15,9.08764013748146e-6,3.9073113190827615,2.373471853367536e-10,0.7999577413510518
window_600_um,rq_12p5_11p5,600.0,12.5,11.5,14.0,3.942041184071237,3.765973064310708e-15,1.2915554996442622e-5,3.8873361592483695,2.246988703485571e-10,0.757327711947086
window_600_um,rq_15p0_13p8,600.0,15.000000000000002,13.8,13.75,3.9573808552413827,5.547676604814482e-15,1.9025978430643392e-5,3.867665038645682,2.12818984249355e-10,0.7172876042965916
window_600_um,rq_17p5_16p1,600.0,17.5,16.1,13.75,3.9373549072084977,6.878552504828742e-15,2.3590270470586696e-5,3.848290379743488,2.016588504607001e-10,0.6796733582878125
window_600_um,rq_20p0_18p4,600.0,20.0,18.4,13.5,3.9537382496005016,9.235889839036385e-15,3.167485298490664e-5,3.829204830063904,1.9117258114878423e-10,0.644330313026681
window_600_um,rq_22p5_20p7,600.0,22.5,20.7,13.5,3.934129202983071,1.0664706317352826e-14,3.6575036148828744e-5,3.810401087687979,1.8131697441732652e-10,0.6111128603345202
window_600_um,rq_25p0_23p0,600.0,25.0,23.0,13.25,3.951568873156119,1.3597191588528876e-14,4.663211147819372e-5,3.791872354004627,1.7205150527767217e-10,0.5798844143135594
window_600_um,rq_27p5_25p3,600.0,27.5,25.3,13.25,3.932353259524266,1.503125649119166e-14,5.155029432297712e-5,3.773612088941618,1.6333816828605356e-10,0.5505168809697105
window_600_um,rq_30p0_27p6,600.0,30.000000000000004,27.6,13.0,3.950865016243055,1.855989071799181e-14,6.365188629942123e-5,3.7556137047978013,1.5514132363937568e-10,0.5228901394919951
window_600_um,rq_35p0_32p2,600.0,35.0,32.2,12.75,3.951623876927846,2.4093725972893275e-14,8.263039526786355e-5,3.720378061258647,1.40165967278101e-10,0.4724170225106608
window_600_um,rq_40p0_36p8,600.0,40.0,36.8,12.5,3.9538477480868335,3.0211443341589984e-14,0.00010361135125952745,3.686118078973118,1.2688400533612886e-10,0.4276513419708404
window_600_um,rq_50p0_46p0,600.0,50.0,46.0,12.0,3.962724170569428,4.431794641244583e-14,0.00015199016680277473,3.620350852537583,1.0458507231587459e-10,0.352494756194979
window_600_um,rq_60p0_55p2,600.0,60.00000000000001,55.2,11.75,3.935071763517634,5.302139459398172e-14,0.00018183898986330022,3.557989123656963,8.686617070886534e-11,0.2927747620915995
window_600_um,rq_80p0_73p6,600.0,80.0,73.6,11.0,3.9337578935675337,7.924962824813074e-14,0.00027178976445326966,3.4423758320275577,6.124999621744631e-11,0.20643770669683814
window_600_um,rq_100p0_92p0,600.0,100.0,92.0,10.25,3.9498436763510134,1.1222383030708578e-13,0.0003848761070488174,3.3373608537114707,4.436784706645361e-11,0.14953791289975354
