lq_nh,fq_ghz,g_resonance_s,crossed,setup
10.0,4.6,3.9426792701457753e-10,false,XY only
10.25,4.6,3.9426792788994643e-10,false,XY only
10.5,4.6,3.9426792699783193e-10,false,XY only
10.75,4.594321100271731,3.9329510176359065e-10,true,XY only
11.0,4.541812828288333,3.8435697074392044e-10,true,XY only
11.25,4.491064797320888,3.758161039871567e-10,true,XY only
11.5,4.441980542808169,3.6764650413399443e-10,true,XY only
11.75,4.394471441207102,3.598245901732713e-10,true,XY only
12.0,4.34845476501659,3.523285524425826e-10,true,XY only
12.25,4.303854001430626,3.4513844502699836e-10,true,XY only
12.5,4.2605981567199205,3.3823597055777905e-10,true,XY only
12.75,4.2186208005027765,3.316041516533238e-10,true,XY only
13.0,4.177860153977115,3.2522736612293937e-10,true,XY only
13.25,4.138258713574568,3.1909123670846504e-10,true,XY only
13.5,4.099762444119252,3.131823561876167e-10,true,XY only
13.75,4.062320922604133,3.07488337986829e-10,true,XY only
14.0,4.0258867759463834,3.019976570978627e-10,true,XY only
14.25,3.990415772622648,2.9669965432911117e-10,true,XY only
14.5,3.95586601781463,2.9158430012089944e-10,true,XY only
14.75,3.922198474919464,2.8664236366421394e-10,true,XY only
15.000000000000002,3.8893762185045677,2.818651661325515e-10,true,XY only
15.25,3.8573643501747865,2.7724457731860657e-10,true,XY only
15.499999999999998,3.8261300369083076,2.727730096627045e-10,true,XY only
15.750000000000002,3.7956425049650435,2.6844342616443e-10,true,XY only
16.0,3.7658722551750743,2.642491142076437e-10,true,XY only
16.25,3.7367918217911553,2.6018389273519495e-10,true,XY only
16.5,3.708374696584901,2.5624182144733806e-10,true,XY only
16.75,3.680596250033981,2.5241743372506993e-10,true,XY only
17.0,3.6534328052303744,2.4870552318855566e-10,true,XY only
17.25,3.6268620569669547,2.451012037184353e-10,true,XY only
17.5,3.600862712551836,2.4159985776723e-10,true,XY only
17.75,3.5754145812082183,2.3819712892442274e-10,true,XY only
18.0,3.5504984869355876,2.3488892357999044e-10,true,XY only
18.25,3.526096067573329,2.3167133451435933e-10,true,XY only
18.5,3.5021900792165424,2.285407300726567e-10,true,XY only
18.75,3.4787638826229452,2.2549362277000232e-10,true,XY only
19.0,3.455801410813191,2.2252665818194226e-10,true,XY only
19.25,3.433287889045307,2.1963679692389996e-10,true,XY only
19.5,3.411208645709859,2.1682101281228412e-10,true,XY only
19.75,3.3895499227464394,2.1407650063425396e-10,true,XY only
20.0,3.368298589639136,2.114006069526309e-10,true,XY only
20.25,3.3474420963710085,2.0879079445835398e-10,true,XY only
20.5,3.3269682829984295,2.062446352854387e-10,true,XY only
20.75,3.306865570788548,2.0375981981867152e-10,true,XY only
21.0,3.2871229155639266,2.013341659992575e-10,true,XY only
21.25,3.267729613405383,1.989655639990496e-10,true,XY only
21.5,3.2486757005008498,1.9665207866172672e-10,true,XY only
21.75,3.229951066799125,1.9439173261267924e-10,true,XY only
22.0,3.211546731879474,1.9218280904862603e-10,true,XY only
22.25,3.1934533827203,1.9002350086928624e-10,true,XY only
22.5,3.1756623823157923,1.8791216649440916e-10,true,XY only
22.75,3.158165446830355,1.8584723303368526e-10,true,XY only
23.0,3.140954718899667,1.838272245264668e-10,true,XY only
23.25,3.1240220740718794,1.8185059448343407e-10,true,XY only
23.5,3.107360637270777,1.7991608298593432e-10,true,XY only
23.75,3.0909628636010953,1.780222760288682e-10,true,XY only
24.0,3.074821951774515,1.7616791425986163e-10,true,XY only
24.25,3.0589312987223933,1.743517891827461e-10,true,XY only
24.5,3.04328447788036,1.725727216448802e-10,true,XY only
24.75,3.027875231926399,1.7082957462619464e-10,true,XY only
25.0,3.0126979292135005,1.6912133523373672e-10,true,XY only
25.25,2.9999999999999996,1.6769872771059632e-10,false,XY only
25.5,2.9999999999999996,1.6769872684832824e-10,false,XY only
25.75,2.9999999999999996,1.6769872770324972e-10,false,XY only
26.0,2.9999999999999996,1.6769872944358854e-10,false,XY only
26.25,2.9999999999999996,1.6769872856543527e-10,false,XY only
26.5,2.9999999999999996,1.6769872597648693e-10,false,XY only
26.75,2.9999999999999996,1.6769872423302654e-10,false,XY only
27.0,2.9999999999999996,1.6769872509568803e-10,false,XY only
27.25,2.9999999999999996,1.676987250914378e-10,false,XY only
27.5,2.9999999999999996,1.6769872596965902e-10,false,XY only
27.75,2.9999999999999996,1.6769872509731972e-10,false,XY only
28.0,2.9999999999999996,1.6769872423866522e-10,false,XY only
10.0,3.983868075584775,5.081532389990547e-11,true,XY + Readout
10.25,3.9349897357368686,5.0747180777792456e-11,true,XY + Readout
10.5,3.88786702641988,5.059441031466793e-11,true,XY + Readout
10.75,3.8423976434603744,5.037215411666967e-11,true,XY + Readout
11.0,3.7984869677146302,5.009304470711932e-11,true,XY + Readout
11.25,3.756047882177,4.976757459262003e-11,true,XY + Readout
11.5,3.7150002926443704,4.940443732535669e-11,true,XY + Readout
11.75,3.675269478829588,4.901096296808799e-11,true,XY + Readout
12.0,3.6367866510644022,4.8593236800905244e-11,true,XY + Readout
12.25,3.599487779059064,4.8156373249017726e-11,true,XY + Readout
12.5,3.563313452516032,4.770465317284628e-11,true,XY + Readout
12.75,3.5282081456875813,4.724170303591981e-11,true,XY + Readout
13.0,3.4941203654997706,4.6770528352123806e-11,true,XY + Readout
13.25,3.461001976083945,4.629369101642531e-11,true,XY + Readout
13.5,3.428807652444813,4.581334098562232e-11,true,XY + Readout
13.75,3.3974952900634303,4.5331278662352404e-11,true,XY + Readout
14.0,3.3670254339114973,4.4849022874752916e-11,true,XY + Readout
14.25,3.3373608537114707,4.436784706645361e-11,true,XY + Readout
14.5,3.308466740953863,4.388881585183771e-11,true,XY + Readout
14.75,3.2803103104943507,4.3412825835028157e-11,true,XY + Readout
15.000000000000002,3.252860804168856,4.2940611376314665e-11,true,XY + Readout
15.25,3.2260888424155074,4.247279647131157e-11,true,XY + Readout
15.499999999999998,3.1999672916211903,4.20098813882263e-11,true,XY + Readout
15.750000000000002,3.1744702562579,4.155227918193846e-11,true,XY + Readout
16.0,3.1495730225005545,4.1100321349663944e-11,true,XY + Readout
16.25,3.1252525886090954,4.0654276644198784e-11,true,XY + Readout
16.5,3.1014869064920783,4.02143562150221e-11,true,XY + Readout
16.75,3.078255243337623,3.978071243747628e-11,true,XY + Readout
17.0,3.0555380124174025,3.9353464780717685e-11,true,XY + Readout
17.25,3.0333164047515115,3.8932695190465154e-11,true,XY + Readout
17.5,3.0115725996193645,3.851844728599962e-11,true,XY + Readout
17.75,2.9999999999999996,3.829702559147204e-11,false,XY + Readout
18.0,2.9999999999999996,3.8297023067270444e-11,false,XY + Readout
18.25,2.9999999999999996,3.8297023945423315e-11,false,XY + Readout
18.5,2.9999999999999996,3.8297023920607916e-11,false,XY + Readout
18.75,2.9999999999999996,3.829702483563837e-11,false,XY + Readout
19.0,2.9999999999999996,3.8297024833258084e-11,false,XY + Readout
19.25,2.9999999999999996,3.829702569112569e-11,false,XY + Readout
19.5,2.9999999999999996,3.829702386125632e-11,false,XY + Readout
19.75,2.9999999999999996,3.8297023903114546e-11,false,XY + Readout
20.0,2.9999999999999996,3.829702303690141e-11,false,XY + Readout
20.25,2.9999999999999996,3.829702489687233e-11,false,XY + Readout
20.5,2.9999999999999996,3.829702741895935e-11,false,XY + Readout
20.75,2.9999999999999996,3.829702402367152e-11,false,XY + Readout
21.0,2.9999999999999996,3.8297024754924396e-11,false,XY + Readout
21.25,2.9999999999999996,3.829702391881397e-11,false,XY + Readout
21.5,2.9999999999999996,3.829702396283665e-11,false,XY + Readout
21.75,2.9999999999999996,3.829702570913719e-11,false,XY + Readout
22.0,2.9999999999999996,3.829702214600028e-11,false,XY + Readout
22.25,2.9999999999999996,3.829702482207076e-11,false,XY + Readout
22.5,2.9999999999999996,3.8297023027625416e-11,false,XY + Readout
22.75,2.9999999999999996,3.829702569811143e-11,false,XY + Readout
23.0,2.9999999999999996,3.8297024751819806e-11,false,XY + Readout
23.25,2.9999999999999996,3.829702564855255e-11,false,XY + Readout
23.5,2.9999999999999996,3.8297023909654636e-11,false,XY + Readout
23.75,2.9999999999999996,3.8297023936501416e-11,false,XY + Readout
24.0,2.9999999999999996,3.8297024795583206e-11,false,XY + Readout
24.25,2.9999999999999996,3.82970247567951e-11,false,XY + Readout
24.5,2.9999999999999996,3.829702388744631e-11,false,XY + Readout
24.75,2.9999999999999996,3.829702308285508e-11,false,XY + Readout
25.0,2.9999999999999996,3.829702830843392e-11,false,XY + Readout
25.25,2.9999999999999996,3.829702480298696e-11,false,XY + Readout
25.5,2.9999999999999996,3.829702219465786e-11,false,XY + Readout
25.75,2.9999999999999996,3.82970247584419e-11,false,XY + Readout
26.0,2.9999999999999996,3.8297025695752827e-11,false,XY + Readout
26.25,2.9999999999999996,3.829702477229285e-11,false,XY + Readout
26.5,2.9999999999999996,3.8297025653772415e-11,false,XY + Readout
26.75,2.9999999999999996,3.8297025548464976e-11,false,XY + Readout
27.0,2.9999999999999996,3.829702308566517e-11,false,XY + Readout
27.25,2.9999999999999996,3.8297024720461305e-11,false,XY + Readout
27.5,2.9999999999999996,3.8297023885015485e-11,false,XY + Readout
27.75,2.9999999999999996,3.8297023110698706e-11,false,XY + Readout
28.0,2.9999999999999996,3.829702392738224e-11,false,XY + Readout
